oui,yes,"Oui, c'est correct.","Yes, that is correct."  
non,no,"Non, je ne veux pas de café.","No, I don’t want coffee."  
et,and,J'ai une pomme et une banane.,I have an apple and a banana.  
mais,but,"J'aime le thé, mais pas le café.","I like tea, but not coffee."  
ou,or,Tu veux du thé ou du café ?,Do you want tea or coffee?  
s'il vous plaît,please,"Un verre d'eau, s'il vous plaît.","A glass of water, please."  
merci,thank you,Merci pour le repas.,Thank you for the meal.  
excusez-moi,excuse me,"Excusez-moi, où sont les toilettes ?","Excuse me, where is the restroom?" 
je,I,Je viens de France.,I come from France.  
tu,you - informal,Tu es très gentil.,You are very kind.  

l'homme,man,L'homme lit un journal.,The man is reading a newspaper.  
la femme,woman,La femme boit un café.,The woman is drinking coffee.  
l'enfant,child,L'enfant joue dans le jardin.,The child is playing in the garden.  
le garçon,boy,Le garçon a un vélo.,The boy has a bicycle.  
la fille,girl,La fille peint un tableau.,The girl is painting a picture.  
la famille,family,La famille mange ensemble.,The family eats together.  
l'ami,friend - male,Mon ami habite à Paris.,My friend lives in Paris.  
l'amie,friend - female,Mon amie étudie la médecine.,My friend studies medicine.  
le père,father,Mon père travaille au bureau.,My father works in the office.  
la mère,mother,Ma mère prépare le dîner.,My mother is cooking dinner.  

zéro,zero,Il y a zéro erreur.,There are zero mistakes.  
un,one,J'en ai trouvé un.,I found one.  
deux,two,J'ai besoin de deux chaises.,I need two chairs.  
trois,three,Trois chats dorment ici.,Three cats are sleeping here.  
quatre,four,Quatre amis viennent aujourd'hui.,Four friends are coming today.  
cinq,five,Le train arrive dans cinq minutes.,The train arrives in five minutes.  
six,six,Je me lève à six heures.,I get up at six o'clock.  
sept,seven,Nous nous retrouvons à sept heures.,We meet at seven o'clock.  
huit,eight,Le cours commence à huit heures.,The class starts at eight o'clock.  
neuf,nine,Neuf enfants jouent au parc.,Nine children are playing in the park.  

lundi,Monday,Lundi, j'ai un rendez-vous.,Monday, I have an appointment.  
mardi,Tuesday,Mardi est mon jour de congé.,Tuesday is my day off.  
mercredi,Wednesday,Nous allons au cinéma mercredi.,We are going to the cinema on Wednesday.  
jeudi,Thursday,Jeudi est un jour important pour moi.,Thursday is an important day for me.  
vendredi,Friday,Vendredi est le dernier jour de la semaine de travail.,Friday is the last workday of the week.  
samedi,Saturday,Samedi, je rends visite à mes amis.,Saturday, I visit my friends.  
dimanche,Sunday,Nous allons nous promener dimanche.,"Sunday, we are going for a walk."  
janvier,January,Il fait très froid en janvier.,It is very cold in January.  
février,February,Février n'a que 28 jours.,February has only 28 days.  
mars,March,En mars, le printemps commence.,Spring begins in March.  

rouge,red,La fleur est rouge.,The flower is red.  
bleu,blue,Le ciel est bleu.,The sky is blue.  
jaune,yellow,La banane est jaune.,The banana is yellow.  
vert,green,L'arbre est vert.,The tree is green.  
noir,black,Le chat est noir.,The cat is black.  
blanc,white,Le papier est blanc.,The paper is white.  
gris,gray,La pierre est grise.,The stone is gray.  
marron,brown,Le chien est marron.,The dog is brown.  
orange,orange,L'orange est orange.,The orange is orange.  
rose,pink,La robe est rose.,The dress is pink.  

être,to be,Je suis heureux.,I am happy.  
avoir,to have,Nous avons une voiture.,We have a car.  
aller,to go,Je vais à l'école.,I am going to school.  
venir,to come,Tu viens demain ?,Are you coming tomorrow?  
voir,to see,Je vois un oiseau.,I see a bird.  
entendre,to hear,J'écoute de la musique.,I am listening to music.  
faire,to do/make,Que fais-tu ?,What are you doing?  
parler,to speak,Parles-tu français ?,Do you speak French?  
