ja,yes," Ja, das ist richtig. ","Yes, that is correct."
nein,no," Nein, ich möchte keinen Kaffee. ","No, I don’t want coffee."
und,and, Ich habe einen Apfel und eine Banane. ,I have an apple and a banana.
aber,but," Ich mag Tee, aber keinen Kaffee. ","I like tea, but not coffee."
oder,or, Möchtest du Tee oder Kaffee? ,Do you want tea or coffee?
bitte,please," Eine Tasse Wasser, bitte. ","A cup of water, please."
danke,thank you, Danke für das Essen. ,Thank you for the food.
entschuldigung,excuse me," Entschuldigung, wo ist die Toilette? ","Excuse me, where is the restroom?"
ich,I, Ich komme aus Deutschland. ,I come from Germany.
du,you - informal, Du bist sehr nett. ,You are very nice.
,,,
,,,
der Mann,man, Der Mann liest eine Zeitung. ,The man is reading a newspaper.
die Frau,woman, Die Frau trinkt einen Kaffee. ,The woman is drinking coffee.
das Kind,child, Das Kind spielt im Garten. ,The child is playing in the garden.
der Junge,boy, Der Junge hat ein Fahrrad. ,The boy has a bicycle.
das Mädchen,girl, Das Mädchen malt ein Bild. ,The girl is painting a picture.
die Familie,family, Die Familie isst zusammen. ,The family eats together.
der Freund,friend - male, Mein Freund wohnt in Berlin. ,My friend lives in Berlin.
die Freundin,friend - female, Meine Freundin studiert Medizin. ,My 
der Vater,father, Mein Vater arbeitet im Büro. ,My father works in the office.
die Mutter,mother, Meine Mutter kocht das Abendessen. ,My mother is cooking dinner.
,,,
,,,
null,zero, Es gibt null Fehler. ,There are zero mistakes.
eins,one, Ich habe eins gefunden. ,I found one.
zwei,two, Ich brauche zwei Stühle. ,I need two chairs.
drei,three, Drei Katzen schlafen hier. ,Three cats are sleeping here.
vier,four, Vier Freunde kommen heute. ,Four friends are coming today.
fünf,five, Der Zug kommt in fünf Minuten. ,The train arrives in five minutes.
sechs,six, Ich stehe um sechs Uhr auf. ,I get up at six o'clock.
sieben,seven, Wir treffen uns um sieben Uhr. ,We meet at seven o'clock.
acht,eight, Der Unterricht beginnt um acht Uhr. ,The class starts at eight o'clock.
neun,nine, Neun Kinder spielen im Park. ,Nine children are playing in the park.
zehn,ten, Ich habe zehn Äpfel. ,I have ten apples.
elf,eleven, Elf Schüler sind in der Klasse. ,Eleven students are in the class.
zwölf,twelve, Es ist zwölf Uhr. ,It is twelve o'clock.
dreizehn,thirteen, Mein Bruder ist dreizehn Jahre alt. ,My brother is thirteen years old.
